Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,RT
0,True,True,1,65,1.0,,,0.0
0,True,True,2,60,0.0347107438016529,60.0,0.0347107438016529,4.9140267519997
0,True,True,3,58,0.1577745383867833,63.0,0.14757045675413022,4.19428075299993
0,True,True,4,61,0.06074412155353007,63.0,0.29970523538493105,3.1887418460000845
0,True,True,5,63,0.023054248875763923,61.0,0.9277495478118101,1.0259053290001248
0,True,True,6,61,0.9759165159372701,58.0,0.0051630582415777854,123.83720807999998
0,True,True,7,61,0.9919721719790899,63.0,0.0025615832084182146,1.5697208990000036
0,True,True,8,63,0.0025615832084182146,61.0,0.9919721719790899,1.9728974019999441
1,True,True,1,65,1.0,,,0.0
1,True,True,2,60,0.0347107438016529,60.0,0.0347107438016529,1.452280010999857
1,True,True,3,62,0.2624878522837707,58.0,0.1577745383867833,65.54321170399999
1,True,True,4,59,0.06082454651864278,62.0,0.39218860786571136,1.0546407209999415
1,True,True,5,62,0.39652827016253833,69.0,0.12190722950350792,0.4503793950002546
1,True,True,6,62,0.39652827016253833,67.0,0.1294788052228704,1.2448744230000557
1,True,True,7,67,0.1294788052228704,62.0,0.39652827016253833,2.0789810569999645
1,True,True,8,69,0.12190722950350792,67.0,0.1294788052228704,0.6689730890002465
