Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,Entropy,RT
0,True,True,1,63,-0.0,,,0.0,0.0
0,True,True,2,66,3.1721976403852477,61.0,2.6561156552435885,3.42285722931988,7.92708933799986
0,True,True,3,59,5.345847677121749,61.0,4.986215781340886,3.411795809706611,1.2026405590004288
0,True,True,4,69,3.6708702747527195,64.0,1.6581144614558867,3.05907784298026,3.8702988770000957
0,True,True,5,69,3.6708702747527195,64.0,1.6581144614558867,3.05907784298026,4.374261552000462
0,True,True,6,62,3.581974919353541,67.0,3.178884344962024,3.05907784298026,15.358566462999988
0,True,True,7,57,5.045339234108669,64.0,1.6581144614558867,3.05907784298026,1.0480683780006075
0,True,True,8,64,1.6581144614558867,71.0,4.430033352586029,3.05907784298026,0.6170550120004918
1,True,True,1,63,-0.0,,,0.0,0.0
1,True,True,2,66,3.1721976403852477,61.0,2.6561156552435885,3.42285722931988,2.477414791999763
1,True,True,3,59,5.345847677121749,61.0,4.986215781340886,3.411795809706611,0.7869693560005544
1,True,True,4,69,3.6708702747527195,64.0,1.6581144614558867,3.05907784298026,31.993955205999555
1,True,True,5,64,1.6581144614558867,69.0,3.6708702747527195,3.05907784298026,0.3010889249999309
1,True,True,6,68,2.7085460199309415,69.0,3.6708702747527195,3.05907784298026,0.1256331249996947
1,True,True,7,69,3.6708702747527195,62.0,3.581974919353541,3.05907784298026,0.4216769350005052
1,True,True,8,68,2.7085460199309415,57.0,5.045339234108669,3.05907784298026,0.3366575660002127
