Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,Entropy,RT
0,True,False,1,73,-0.0,,,0.0,0.0
0,True,False,2,71,1.9855831148423633,76.0,3.5961520502058293,3.300234722958809,0.5367824940476567
0,True,False,3,68,3.7206722401141907,72.0,3.939726394158039,3.3264911720948964,9.556558665004559
0,True,False,4,66,1.7025316962871178,73.0,3.626634083146234,2.9179747944339933,1.813611012068577
0,True,False,5,64,3.3989007928699007,71.0,2.9183214513831217,2.5711729774093426,1.3598029810236767
0,True,False,6,61,1.6099153900439798,66.0,1.6851697650958313,2.410076532074081,0.43122151703573763
0,True,False,7,63,2.0160325040451097,64.0,1.975227092388043,2.125806722159086,0.40483908797614276
0,True,False,8,64,0.006374603256939395,61.0,7.864592930299685,0.041910992016080374,2.6856901419814676
1,True,True,1,70,-0.0,,,0.0,0.0
1,True,True,2,72,2.0295478472933137,67.0,3.469561466583153,3.381743623462121,0.5587043080013245
1,True,True,3,77,4.405284761118036,70.0,2.232588002143888,3.376412662358794,0.7867974290857092
1,True,True,4,72,2.774302867828829,76.0,2.7978636017145813,2.937375706906173,0.14337297901511192
1,True,True,5,77,1.0534871443867153,74.0,3.338861125886343,2.329586096835642,0.8583899179939181
1,True,True,6,75,3.4580253315163287,72.0,0.5820621720367154,1.648324695468786,1.290139484917745
1,True,True,7,72,1.3900907868137333,77.0,0.8521698528142111,1.3755132671969832,0.05531715403776616
1,True,True,8,70,1.2433165789848097,75.0,0.8883084452458195,1.2350236001281212,0.479080457938835
2,True,False,1,72,-0.0,,,0.0,0.0
2,True,False,2,70,2.232588002143888,69.0,3.1935776780786895,3.376412662358794,0.7394881759537384
2,True,False,3,67,3.469561466583153,72.0,2.0295478472933137,3.381146931142195,2.5946153190452605
2,True,False,4,65,1.4834532577656638,70.0,1.9234523708465352,2.7715647043872953,0.33936861192341894
2,True,False,5,63,1.479287259447638,70.0,3.9785024334931216,2.2980634626987357,0.6051731359912083
2,True,False,6,65,1.9300254986247576,60.0,1.24127496940549,2.256105326019368,0.5317426200490445
2,True,False,7,70,3.5025143196393445,63.0,1.656757411443778,2.148436997840353,0.8383423950290307
2,True,False,8,67,0.12961571947856285,72.0,3.8225245550916918,0.48433265456579283,1.3205041909823194
