Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,False,False,1,67,-0.0,,,0,0.0,0.0
0,False,False,2,62,5.021875663296248,69.0,1.912956758110731,-5,3.360822132241086,0.6829509580275044
0,False,False,3,67,3.9188750009807487,58.0,5.743969467611386,5,3.404575092537958,0.4346022909739986
0,False,False,4,64,2.889838789024983,66.0,2.987429776555114,-3,3.1629971068620097,0.44530412496533245
0,False,False,5,62,0.6808806829306995,65.0,3.5699844655151565,-2,1.9145395269976395,0.38747412501834333
1,False,True,1,74,-0.0,,,0,0.0,0.0
1,False,True,2,76,2.2004931279775914,73.0,3.9797798790367076,2,3.2684824570540854,0.3222099579870701
1,False,True,3,79,3.841166371065747,74.0,1.667617132373487,3,3.249344131826771,0.32825854199472815
1,False,True,4,76,1.5369385282198451,81.0,1.9626450172465415,-3,2.783210395394207,0.27182420797180384
1,False,True,5,79,1.9100946438320612,74.0,1.00696206810581,3,2.0813442968410025,0.35359391605015844
2,False,True,1,74,-0.0,,,0,0.0,0.0
2,False,True,2,76,2.2004931279775914,72.0,1.8848527288588888,2,3.2684824570540854,0.5298346669878811
2,False,True,3,74,1.667617132373487,80.0,5.904561452354256,-2,3.248809684680445,3.8933965829201043
2,False,True,4,71,2.5910516154626166,73.0,3.865242640100708,-3,2.82051500689637,0.3976833749329671
2,False,True,5,64,5.884414126996792,78.0,4.642690770987702,-7,2.45473458845757,0.7310636250767857
3,True,True,1,71,-0.0,,,0,0.0,0.0
3,True,True,2,78,5.233696221794538,73.0,2.2380607273497417,7,3.3264911720948964,0.49475816695485264
3,True,True,3,70,7.134439556285811,85.0,7.328797733259908,-8,3.2501734379793947,0.300034457934089
3,True,True,4,75,4.019970696054679,78.0,2.817712890183862,5,3.0110516111521286,0.8674604169791564
3,True,True,5,73,0.21999555678672386,72.0,5.777269050285512,-2,0.9636804641587337,0.19480145897250623
4,True,False,1,63,-0.0,,,0,0.0,0.0
4,True,False,2,64,4.35107258307814,61.0,2.6561156552435885,1,3.42285722931988,0.6656941249966621
4,True,False,3,69,3.754500493184299,66.0,2.1769089746898738,5,3.443106587287907,0.18955387501046062
4,True,False,4,66,2.689696365451154,67.0,1.679043301799692,-3,2.6925568109736306,0.3155868749599904
4,True,False,5,62,1.997896643121767,64.0,1.1172665356330385,-4,1.8768094583521902,0.24733333406038582
5,True,True,1,72,-0.0,,,0,0.0,0.0
5,True,True,2,75,3.671289084070686,70.0,2.232588002143888,3,3.3769043132040446,1.1596961250761524
5,True,True,3,68,5.194764016981603,76.0,4.0455851844624116,-7,3.220443010213872,1.4634899999946356
5,True,True,4,75,2.5587643380793956,70.0,1.8871414443901517,7,3.254635956618539,0.596392499981448
5,True,True,5,73,0.9838248911554159,68.0,4.940744263379187,-2,2.2084059213623832,0.3530448330566287
