Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,False,1,72,-0.0,,,0,0.0,0.0
0,True,False,2,80,7.321662384099981,75.0,3.671289084070686,8,3.376412662358794,0.00020949800091329962
0,True,False,3,82,2.626881443270305,79.0,3.773920385595662,2,3.193042433875426,0.00023966899971128441
0,True,False,4,80,1.3377745937129504,84.0,2.464316510406191,-2,2.7835683736673027,0.00023795900051482022
0,True,False,5,82,2.246316864211196,84.0,3.802780009720162,2,2.7738861411881763,0.000150593999933335
1,True,False,1,70,-0.0,,,0,0.0,0.0
1,True,False,2,72,2.0295478472933137,75.0,4.409291563189563,2,3.381146931142195,0.00021185299920034595
1,True,False,3,69,3.1935776780786895,71.0,3.6790145652173494,-3,3.376412662358794,0.0004915210010949522
1,True,False,4,67,1.4364282358601943,72.0,2.0123312637402355,-2,2.7685716787607477,0.0002831329984473996
1,True,False,5,65,1.7315669936427256,69.0,1.2618238452061408,-2,2.3010202803122426,0.00031260399919119664
2,False,True,1,70,-0.0,,,0,0.0,0.0
2,False,True,2,73,3.4232593386742356,68.0,2.127682525816999,3,3.381146931142195,0.00012182399950688705
2,False,True,3,74,3.966053818101713,75.0,2.1007894492757884,1,3.300234722958809,0.0002099920002365252
2,False,True,4,75,8.936177576170493,80.0,8.739416808025423,1,2.6513901822848216,0.00016826499995659105
2,False,True,5,80,8.206902348429635,77.0,0.6023686161239987,5,1.6575888284578244,0.0001677349991950905
3,False,True,1,70,-0.0,,,0,0.0,0.0
3,False,True,2,79,6.434954218960096,72.0,2.0295478472933137,9,3.381146931142195,0.00015767300101288129
3,False,True,3,71,6.709347151682694,88.0,9.152646096713216,-8,3.213264605693454,0.0001401209992764052
3,False,True,4,74,1.378714791697055,79.0,1.945234178454727,3,2.3499911332715278,0.00016383000001951586
3,False,True,5,73,3.066737985799902,76.0,0.7028884200008184,-1,1.8638758783112583,0.00013259100160212256
4,True,False,1,65,-0.0,,,0,0.0,0.0
4,True,False,2,68,3.3721655478362176,67.0,1.7346468552745236,3,3.2694808087946488,0.0001479620004829485
4,True,False,3,66,2.167642265005514,70.0,2.040190219573672,-2,3.411931405518565,0.00014762300088477787
4,True,False,4,69,5.656612190981464,68.0,1.4466701253374235,3,2.891046295943067,0.0001521319991297787
4,True,False,5,71,1.2260323132200912,62.0,8.369617071861992,2,1.4831146391757943,0.00014737200035597198
5,True,False,1,69,-0.0,,,0,0.0,0.0
5,True,False,2,67,1.946067476628676,71.0,2.0143509242657833,-2,3.266746340420286,0.00015299200094887055
5,True,False,3,72,4.284842019082111,65.0,2.215979728426081,5,3.360822132241086,0.00014784400082135107
5,True,False,4,69,2.8063047722320156,75.0,4.178334371890481,-3,3.1003467266334,0.0001511549999122508
5,True,False,5,67,1.36082457939018,74.0,4.722117764077509,-2,2.4194925987972953,0.0001592879998497665
6,False,False,1,65,-0.0,,,0,0.0,0.0
6,False,False,2,67,1.7346468552745236,69.0,5.067105812751246,2,3.2694808087946488,0.00012919500113639515
6,False,False,3,65,2.215979728426081,70.0,3.494059360981964,-2,3.360822132241086,0.0001348610003333306
6,False,False,4,67,1.4311793301800875,64.0,4.186944496042664,2,2.7282209459192264,0.0001332889987679664
6,False,False,5,70,2.818360315401041,69.0,1.986047460898798,3,2.7863115143618784,0.00013962500088382512
7,False,False,1,72,-0.0,,,0,0.0,0.0
7,False,False,2,73,4.392526360800033,68.0,5.393643042589754,1,3.376412662358794,0.0001413770005456172
7,False,False,3,75,2.1007894492757884,71.0,1.9855831148423633,2,3.300234722958809,0.00013201900037529413
7,False,False,4,73,1.5126273059386754,77.0,2.3791644512766887,-2,2.851668639234728,0.00012756599971908145
7,False,False,5,77,5.46152057084285,75.0,1.4363232875521765,4,2.5110807279766836,0.00018323200129088946
8,True,True,1,74,-0.0,,,0,0.0,0.0
8,True,True,2,72,1.8848527288588888,77.0,3.694087435697488,-2,3.2684824570540854,0.00015224699927784968
8,True,True,3,74,2.088016409839036,69.0,3.1935776780786895,2,3.376412662358794,0.00015981799879227765
8,True,True,4,72,1.6570160009178656,77.0,2.6572970946932903,-2,2.907508683861446,0.00021167100021557417
