Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,False,1,61,-0.0,,,0,0.0,0.0
0,True,False,2,63,1.8411243506249906,59.0,2.5271477832898004,2,3.408827837528595,2.456721791997552
0,True,False,3,60,3.262987078276153,66.0,3.1721976403852477,-3,3.42285722931988,0.39887754095252603
0,True,False,4,65,3.4751925743831484,67.0,3.475423013536369,5,2.7427778807617216,3.87785220798105
0,True,False,5,60,3.4070435920261186,63.0,0.9535597426410747,-5,1.8744779869090906,2.290915417019278
1,True,False,1,63,-0.0,,,0,0.0,0.0
1,True,False,2,61,2.6561156552435885,64.0,4.35107258307814,-2,3.42285722931988,1.4648630830924958
1,True,False,3,63,1.8411243506249906,59.0,2.5271477832898004,2,3.408827837528595,0.635192958987318
1,True,False,4,66,1.8620633312353554,65.0,2.2623487650277823,3,2.8090045548046008,1.2207405000226572
1,True,False,5,59,4.48220738849786,68.0,1.4720509714285817,-7,2.70330194338305,2.231311750016175
2,False,False,1,67,-0.0,,,0,0.0,0.0
2,False,False,2,69,1.912956758110731,65.0,2.215979728426081,2,3.360822132241086,4.610723041929305
2,False,False,3,76,4.915766347315936,78.0,6.4117252747293785,7,3.266746340420286,1.0316277919337153
2,False,False,4,74,1.021671769836528,75.0,5.327224040838963,-2,2.6532012920745323,0.9069438329897821
2,False,False,5,76,1.9709117282266082,72.0,1.663600269319729,2,2.6942046343512733,0.7216447920072824
3,False,True,1,74,-0.0,,,0,0.0,0.0
3,False,True,2,73,3.9797798790367076,76.0,2.2004931279775914,-1,3.2684824570540854,1.1132420420181006
3,False,True,3,75,2.1007894492757884,71.0,1.9855831148423633,2,3.3008339937282973,0.7610476249828935
3,False,True,4,73,1.5126273059386754,71.0,4.168549202182899,-2,2.851668639234728,0.7064024169230834
3,False,True,5,71,1.9594193227347942,75.0,1.4363232875521765,-2,2.5110807279766836,0.8495813750196248
4,True,False,1,67,-0.0,,,0,0.0,0.0
4,True,False,2,70,3.494059360981964,65.0,2.215979728426081,3,3.360822132241086,1.7671699170023203
4,True,False,3,73,3.4232593386742356,67.0,3.469561466583153,3,3.381146931142195,0.7438929580384865
4,True,False,4,75,1.2756827710389147,72.0,4.229671104091921,2,2.624782407123518,0.7793420830275863
4,True,False,5,77,1.6406670913218249,78.0,2.6747536384312216,2,2.2281757355261878,0.8892829170217738
5,True,True,1,60,-0.0,,,0,0.0,0.0
5,True,True,2,62,1.9296774372723635,58.0,2.6640636924952426,2,3.4160728239352625,4.354504499933682
5,True,True,3,64,1.9235572125283575,60.0,2.3480213048269967,2,3.40551892997495,0.45592279208358377
5,True,True,4,67,2.0808914113425954,66.0,2.4893153792991063,3,2.9882154478836216,0.9248716660076752
5,True,True,5,64,1.4558926030899961,69.0,1.489552750663178,-3,2.394456040061853,0.7052020420087501
6,False,False,1,70,-0.0,,,0,0.0,0.0
6,False,False,2,72,2.0295478472933137,68.0,2.127682525816999,2,3.381146931142195,1.7363261670107022
6,False,False,3,77,4.405284761118036,73.0,4.392526360800033,5,3.376412662358794,0.4434104160172865
6,False,False,4,79,2.2626719152192893,74.0,2.5881208331273124,2,2.937375706906173,0.5026812920114025
6,False,False,5,77,1.2378991342334345,81.0,2.1305323939833887,-2,2.474761030341899,0.7873215000145137
7,False,True,1,68,-0.0,,,0,0.0,0.0
7,False,True,2,65,3.594526874828702,71.0,3.294259765186547,-3,3.411931405518565,0.5205355830257758
7,False,True,3,63,2.2427594352565734,67.0,1.7346468552745236,-2,3.2694808087946488,0.40381179202813655
7,False,True,4,55,9.152667380657714,64.0,11.111792530543763,-8,2.828769793642874,0.5585613750154153
7,False,True,5,60,3.68523778968215,58.0,1.167412082877825,5,2.3792808130712446,0.709526167018339
