Trial,Generated,Changed,Position,Tone,Surprise,Alternative,Alt_Surprise,PitchDif,Entropy,RT
0,True,True,1,64,-0.0,,,0,0.0,0.0
0,True,True,2,61,4.275235596939168,66.0,2.1769089746898738,-3,3.443106587287907,0.6605646670795977
0,True,True,3,63,1.8411243506249906,68.0,4.189392739881828,2,3.410569604072596,0.4691750759957358
0,True,True,4,68,5.029501460695455,65.0,2.2623487650277823,5,2.8090045548046008,0.33369629201479256
0,True,True,5,63,2.5869396316767923,70.0,2.415856443663397,-5,2.741514345008572,0.5299328160472214
1,True,False,1,67,-0.0,,,0,0.0,0.0
1,True,False,2,65,2.215979728426081,70.0,3.494059360981964,-2,3.360822132241086,0.6349816480651498
1,True,False,3,63,2.2427594352565734,66.0,5.109020671077688,-2,3.2694808087946488,0.38851895998232067
1,True,False,4,67,3.9185354253493045,60.0,2.5001921400232208,4,2.828755516615354,0.468794843996875
1,True,False,5,65,1.3476514702072024,72.0,4.575239224823284,-2,2.694226107515975,0.37442254403140396
